Serie A
Atalanta
Maurizio Sarri | 4-3-3
Marco Carnesecchi | Portiere | 29
Marco Sportiello | Portiere | 57
Paolo Vismara | Portiere | 22
Honest Ahanor | Difensore | 69
Mitchel Bakker | Difensore | 5
Raoul Bellanova | Difensore | 16
Lorenzo Bernasconi | Difensore | 47
Isak Hien | Difensore | 4
Sead Kolasinac | Difensore | 23
Odilon Kossounou | Difensore | 3
Thomas Kristensen | Difensore | 13
Giorgio Scalvini | Difensore | 42
Davide Zappacosta | Difensore | 77
Marten de Roon | Centrocampista | 15
Ederson Dos Santos Da Silva | Centrocampista | 13
Eljif Elmas | Centrocampista | 20
Gianluca Gaetano | Centrocampista | 7
Mario Pasalic | Centrocampista | 8
Lazar Samardzic | Centrocampista | 10
Ibrahim Sulemana | Centrocampista | 14
Nicola Zalewski | Centrocampista | 55
Charles De Ketelaere | Attaccante | 17
Nikola Krstovic | Attaccante | 9
Giacomo Raspadori | Attaccante | 11
Gianluca Scamacca | Attaccante | 90
Kamaldeen Sulemana | Attaccante | 18

Bologna
Domenico Tedesco | 4-2-3-1
Massimo Pessina | Portiere | 12
Lukasz Skorupski | Portiere | 1
Rahim Alhassane | Difensore | 3
Nicolò Casale | Difensore | 15
Lorenzo De Silvestri | Difensore | 29
Eivind Helland | Difensore | 4
Torbjorn Heggem | Difensore | 5
Juan Miranda | Difensore | 33
Martin Vitik | Difensore | 6
Nadir Zortea | Difensore | 19
Mikel Amondarain | Centrocampista | 8
Federico Bernardeschi | Centrocampista | 10
Lewis Ferguson | Centrocampista | 19
Nikola Moro | Centrocampista | 6
Tommaso Pobega | Centrocampista | 18
Jonathan Rowe | Centrocampista | 17
Nicolò Cambiaghi | Attaccante | 28
Artem Dovbyk | Attaccante | 9
Jens Odgaard | Attaccante | 21
Riccardo Orsolini | Attaccante | 7
Roberto Piccoli | Attaccante | 11

Cagliari
Fabio Pisacane | 3-5-2
Elia Caprile | Portiere | 22
Boris Radunovic | Portiere | 1
Alen Sherri | Portiere | 12
Giuseppe Aurelio | Difensore | 24
Riyad Idrissi | Difensore | 3
Raphael Kofler | Difensore | 4
Yerry Mina | Difensore | 26
Adam Obert | Difensore | 33
Juan Rodriguez | Difensore | 15
Gabriele Zappa | Difensore | 25
Zè Pedro | Difensore | 5
Michel Adopo | Centrocampista | 16
Demi Akarakiri | Centrocampista | 14
Nicolò Cavuoti | Centrocampista | 20
Alessandro Deiola | Centrocampista | 14
Alieu Fadera | Centrocampista | 11
Jacopo Fazzini | Centrocampista | 8
